stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
"FR_NAOLIB:StopPlace:888",,"Pont Allard",,,47.196930,-1.666619,"",,1,,,0,,
"FR_NAOLIB:StopPlace:647",,"Platière",,,47.194584,-1.559960,"",,1,,,2,,
"FR_NAOLIB:StopPlace:405",,"Couëron Océan",,,47.213493,-1.738860,"",,1,,,0,,
"FR_NAOLIB:StopPlace:889",,"Rocher",,,47.213142,-1.639583,"",,1,,,2,,
"FR_NAOLIB:StopPlace:406",,"Belloc",,,47.203381,-1.614656,"",,1,,,2,,
"FR_NAOLIB:StopPlace:648",,"Pottier",,,47.177776,-1.627406,"",,1,,,0,,
"FR_NAOLIB:StopPlace:649",,"Pierre Blanche",,,47.172100,-1.627296,"",,1,,,1,,
"FR_NAOLIB:StopPlace:407",,"Jaunaie",,,47.219269,-1.727591,"",,1,,,1,,
"FR_NAOLIB:StopPlace:664",,"Gautellerie",,,47.177433,-1.602094,"",,1,,,1,,
"FR_NAOLIB:StopPlace:422",,"Circuit du Vallon",,,47.273647,-1.447419,"",,1,,,2,,
"FR_NAOLIB:StopPlace:665",,"Ordronneau",,,47.193867,-1.574621,"",,1,,,2,,
"FR_NAOLIB:StopPlace:423",,"L'Ebaupin",,,47.284286,-1.443885,"",,1,,,2,,
"FR_NAOLIB:StopPlace:666",,"Beauvoir",,,47.178703,-1.628690,"",,1,,,1,,
"FR_NAOLIB:StopPlace:424",,"Basse Hillière",,,47.286674,-1.426879,"",,1,,,2,,
"FR_NAOLIB:StopPlace:667",,"Terres Neuvas",,,47.185917,-1.590929,"",,1,,,2,,
"FR_NAOLIB:StopPlace:425",,"Chapellerie",,,47.282906,-1.423152,"",,1,,,2,,
"FR_NAOLIB:StopPlace:660",,"Tabarly",,,47.195473,-1.548862,"",,1,,,1,,
"FR_NAOLIB:StopPlace:661",,"Bastille",,,47.179199,-1.597066,"",,1,,,2,,
"FR_NAOLIB:StopPlace:662",,"Centre de Bouguenais",,,47.179298,-1.622402,"",,1,,,1,,
"FR_NAOLIB:StopPlace:420",,"Les Buissons",,,47.278255,-1.443576,"",,1,,,2,,
"FR_NAOLIB:StopPlace:421",,"Tarentaise",,,47.277397,-1.434069,"",,1,,,2,,
"FR_NAOLIB:StopPlace:419",,"Chêne Vert",,,47.286259,-1.439465,"",,1,,,2,,
"FR_NAOLIB:StopPlace:657",,"Houmaille",,,47.188385,-1.587767,"",,1,,,0,,
"FR_NAOLIB:StopPlace:415",,"Noë St Jean",,,47.219231,-1.735110,"",,1,,,1,,
"FR_NAOLIB:StopPlace:899",,"Pelousière",,,47.207745,-1.646992,"",,1,,,1,,
"FR_NAOLIB:StopPlace:658",,"Basse Île",,,47.195827,-1.562689,"",,1,,,2,,
"FR_NAOLIB:StopPlace:416",,"Chemin Nantais",,,47.288696,-1.433710,"",,1,,,2,,
"FR_NAOLIB:StopPlace:659",,"Centaure",,,47.170002,-1.627070,"",,1,,,1,,
"FR_NAOLIB:StopPlace:417",,"Jauneau",,,47.273731,-1.450119,"",,1,,,2,,
"FR_NAOLIB:StopPlace:418",,"Petits Champs Blancs",,,47.281075,-1.420119,"",,1,,,2,,
"FR_NAOLIB:StopPlace:670",,"Châtelier",,,47.184757,-1.593195,"",,1,,,2,,
"FR_NAOLIB:StopPlace:675",,"Lindbergh",,,47.155373,-1.598167,"",,1,,,2,,
"FR_NAOLIB:StopPlace:433",,"Drouillard",,,47.179443,-1.677686,"",,1,,,2,,
"FR_NAOLIB:StopPlace:676",,"Les Ailes",,,47.170731,-1.574877,"",,1,,,0,,
"FR_NAOLIB:StopPlace:434",,"Cimetière La Montagne",,,47.187401,-1.686524,"",,1,,,1,,
"FR_NAOLIB:StopPlace:677",,"St-Exupéry",,,47.152885,-1.594842,"",,1,,,2,,
